,,keep,#,Company,Symbol,Weight,Price,Chg,% Chg,Permno,,,,,,,
,,,158,Xilinx Inc.,XLNX,0.124203,198.32,-2.2,(-1.10%),76201,XLNX,,,,,,
,,,159,IHS Markit Ltd.,INFO,0.123853,126.07,1.87,-1.51%,83382,44071,77104,14704,83884,INFO,,
,,,160,MetLife Inc.,MET,0.12385,67.62,-0.38,(-0.56%),75410,78222,28580,87842,MET,,,
,,,161,Amphenol Corporation Class A,APH,0.123617,82.88,0.27,-0.33%,77118,84769,47351,APH,,,,
,,,162,General Dynamics Corporation,GD,0.122186,211.93,0.35,-0.17%,12052,GD,,,,,,
,,,163,Newmont Corporation,NEM,0.121756,61.48,0.57,-0.94%,21207,NEM,,,,,,
,,,164,Roper Technologies Inc.,ROP,0.121391,464.52,4.24,-0.92%,20343,77338,ROP,,,,,
,,,165,Kimberly-Clark Corporation,KMB,0.120591,143.09,-0.05,(-0.03%),17750,KMB,,,,,,
,,,166,Bank of New York Mellon Corporation,BK,0.120049,63.5,0.43,-0.68%,18841,49656,BK,,,,,
,,,167,IDEXX Laboratories Inc.,IDXX,0.118131,551.6,-3.46,(-0.62%),76709,88832,IDXX,,,,,
,,,168,Microchip Technology Incorporated,MCHP,0.117642,85.68,1.07,-1.26%,78987,MCHP,,,,,,
,,X,169,Cadence Design Systems Inc.,CDNS,0.117154,170.18,0.95,-0.56%,11403,CDNS,,,,,,
,,,170,Centene Corporation,CNC,0.116708,80.32,0.3,-0.37%,28150,89269,86976,CNC,,,,
,,,171,DexCom Inc.,DXCM,0.116439,491,9.83,-2.04%,90664,DXCM,,,,,,
,,,172,Pioneer Natural Resources Company,PXD,0.115788,205,1,-0.49%,75241,PXD,,,,,,
,,,173,Cognizant Technology Solutions Corporation Class A,CTSH,0.115659,88.46,0.49,-0.56%,86158,CTSH,,,,,,
,,,174,O'Reilly Automotive Inc.,ORLY,0.1151,685.01,3.41,-0.50%,79103,ORLY,,,,,,
,,,175,Trane Technologies plc,TT,0.114983,194.89,1.41,-0.73%,12431,59803,81285,61209,TT,,,
,,,176,MSCI Inc. Class A,MSCI,0.114062,559.04,5.72,-1.03%,66253,92402,MSCI,,,,,
,,,177,Carrier Global Corp.,CARR,0.114038,53,0.46,-0.88%,19285,CARR,,,,,,
,,,178,HP Inc.,HPQ,0.113158,39.05,-0.14,(-0.36%),27828,HPQ,,,,,,
,,,179,Marriott International Inc. Class A,MAR,0.113061,165.1,-0.1,(-0.06%),27107,85913,79764,64039,MAR,,,
,,,180,American Electric Power Company Inc.,AEP,0.1124,90.35,0.58,-0.65%,24109,AEP,,,,,,
,,,181,Digital Realty Trust Inc.,DLR,0.112399,158.95,-0.08,(-0.05%),90373,DLR,,,,,,
,,,182,Marathon Petroleum Corporation,MPC,0.112109,73.04,0.35,-0.48%,33902,12872,MPC,,,,,
,,,183,Agilent Technologies Inc.,A,0.111303,150.5,3.86,-2.63%,11334,87432,10495,83438,60409,A,,
,,,184,Chipotle Mexican Grill Inc.,CMG,0.111113,"1,561.75",-19.86,(-1.26%),57656,51692,91518,91068,CMG,,,
,,,185,Dow Inc.,DOW,0.110391,59.2,0.02,-0.03%,18428,20626,DOW,,,,,
,,,186,T. Rowe Price Group,TROW,0.109922,182.01,-11.67,(-6.03%),10138,TROW,,,,,,
,,,187,Fortinet Inc.,FTNT,0.109746,321.1,-2.46,(-0.76%),93132,FTNT,,,,,,
,,,188,Global Payments Inc.,GPN,0.10953,148.73,-0.37,(-0.25%),88873,GPN,,,,,,
,,,189,Prudential Financial Inc.,PRU,0.10928,115.65,0.26,-0.23%,89258,45698,85251,PRU,,,,
,,,190,L3Harris Technologies Inc,LHX,0.109145,220.09,-1.93,(-0.87%),25582,LHX,,,,,,
,,,191,DuPont de Nemours Inc.,DD,0.108622,83.72,0.69,-0.83%,11703,16851,DD,,,,,
,,,192,Motorola Solutions Inc.,MSI,0.108432,256.85,0.8,-0.31%,48020,22779,76829,61997,MSI,,,
,,,193,Aptiv PLC,APTV,0.10807,159.79,0.09,-0.06%,13103,76715,APTV,,,,,
,,,194,Baxter International Inc.,BAX,0.107994,86.44,0.08,-0.09%,27887,BAX,,,,,,
,,,195,Sempra Energy,SRE,0.107956,137.25,1.41,-1.04%,43131,58077,36193,67053,86136,60847,68567,SRE
,,,196,SVB Financial Group,SIVB,0.107624,739.1,5.65,-0.77%,11786,SIVB,,,,,,
,,,197,Hilton Worldwide Holdings Inc,HLT,0.106318,150,-2.5,(-1.64%),23309,14338,HLT,,,,,
,,,198,eBay Inc.,EBAY,0.105964,64.32,-2.11,(-3.18%),86356,82259,EBAY,,,,,
,,,199,AutoZone Inc.,AZO,0.105033,"2,055.01",54.03,-2.70%,76605,AZO,,,,,,
,,,200,Constellation Brands Inc. Class A,STZ,0.104004,248.08,-4.61,(-1.82%),69796,79193,64899,STZ,,,,
,,,201,General Mills Inc.,GIS,0.10392,68.33,-0.2,(-0.29%),17144,GIS,,,,,,
,,,202,Parker-Hannifin Corporation,PH,0.103762,325.11,3.74,-1.16%,41355,PH,,,,,,
,,,203,Paychex Inc.,PAYX,0.103167,130.08,1.31,-1.02%,61621,PAYX,,,,,,
,,,204,Align Technology Inc.,ALGN,0.10283,540.92,-18.72,(-3.35%),88860,ALGN,,,,,,
,,,205,Travelers Companies Inc.,TRV,0.10178,162.97,-0.19,(-0.12%),70519,86460,59459,TRV,,,,
,,,206,Realty Income Corporation,O,0.10108,71.9,0.61,-0.86%,81045,67029,66667,O,,,,
,,,207,Sysco Corporation,SYY,0.100375,78.09,-0.34,(-0.43%),52038,SYY,,,,,,
,,,208,PPG Industries Inc.,PPG,0.100232,170.97,2.16,-1.28%,22509,PPG,,,,,,
,,,209,Archer-Daniels-Midland Company,ADM,0.098618,70.42,-0.06,(-0.09%),10516,ADM,,,,,,
,,,210,McKesson Corporation,MCK,0.098553,254.63,-0.2,(-0.08%),21266,81061,25646,54316,MCK,,,
,,,211,Walgreens Boots Alliance Inc,WBA,0.097572,54.03,-0.3,(-0.55%),19502,WBA,,,,,,
,,,212,Aflac Incorporated,AFL,0.097549,63.34,0.12,-0.19%,57904,AFL,,,,,,
,,,213,Rockwell Automation Inc.,ROK,0.09722,335.1,0.1,-0.03%,84381,46906,18948,ROK,,,,
,,,214,Yum! Brands Inc.,YUM,0.096596,128,-2.66,(-2.04%),85348,YUM,,,,,,
